open,close
159.29,163.05
163.89,166.72
167.9,169.04
169.87,166.89
167.64,168.11
174.0,172.5
172.365,174.25
173.91,174.81
174.66,176.24
175.11,175.88
175.11,174.67
173.5,173.97
173.04,171.34
169.97,169.08
171.18,171.1
171.04,170.15
170.29,169.98
170.78,173.14
173.36,174.96
175.1,174.97
175.05,174.09
174.3,173.07
172.63,169.48
170.43,171.85
169.95,171.05
172.48,169.8
169.06,169.64
167.5,169.01
169.03,169.32
170.49,169.37
169.2,172.67
172.15,171.7
172.5,172.27
172.4,172.22
173.63,173.97
174.88,176.42
175.03,174.54
174.87,174.35
174.17,175.01
174.68,175.01
170.8,170.57
170.1,170.6
171.0,171.08
170.52,169.23
170.16,172.26
172.53,172.23
172.54,173.03
173.44,175.0
174.35,174.35
174.55,174.33
173.16,174.29
174.59,175.28
176.18,177.09
177.9,176.19
176.15,179.1
179.37,179.26
178.61,178.46
177.3,177.0
177.3,177.04
177.25,174.22
174.505,171.11
172.0,171.51
170.16,167.96
165.525,166.97
166.87,167.43
167.165,167.78
166.0,160.5
159.1,156.49
154.83,163.03
163.085,159.54
160.29,155.15
157.07,156.41
158.5,162.71
161.95,164.34
163.045,167.37
169.79,172.99
172.36,172.43
172.05,171.85
172.83,171.07
171.8,172.5
173.67,175.5
176.35,178.97
179.1,178.39
179.26,178.12
178.54,175.0
172.8,176.21
175.21,176.82
177.91,176.67
174.94,175.03
175.48,176.94
177.96,179.98
180.29,181.72
182.59,179.97
180.32,178.44
178.5,178.65
178.65,178.02
177.32,175.3
175.24,175.24
175.04,171.27
170.0,168.85
168.39,164.94
168.07,172.77
173.68,168.34
167.25,166.48
167.805,167.78
167.88,166.68
167.64,168.39
164.88,171.61
172.58,172.8
170.97,168.38
169.88,170.05
173.0,173.25
172.23,172.44
173.41,174.14
174.78,174.73
175.0301,175.82
176.49,178.24
177.81,177.84
174.95,172.8
170.595,165.72
166.8348,165.24
165.67,162.94
162.62,163.65
164.12,164.22
164.0,162.32
162.1302,165.26
166.4102,169.1
175.225,176.57
175.88,176.89
178.25,183.83
185.18,185.16
184.99,186.05
186.55,187.36
187.74,190.04
189.49,188.59
189.01,188.15
186.78,186.44
186.07,188.18
188.0,186.99
187.19,186.31
188.0,187.63
188.375,187.16
186.35,188.36
188.77,188.15
188.23,188.58
187.6,187.9
187.72,187.5
187.22,186.87
187.9912,190.24
191.635,191.83
193.065,193.31
193.63,193.98
194.14,193.46
191.17,191.7
191.35,191.23
191.385,192.28
192.42,190.7
191.55,190.8
190.03,188.84
187.88,188.74
185.14,185.69
186.35,186.5
187.25,185.46
186.12,184.92
183.4,182.17
182.99,184.43
185.2278,184.16
184.1,185.5
186.29,185.11
183.82,187.18
187.79,183.92
185.26,185.4
185.42,187.97
189.5,190.58
190.71,190.35
188.5,187.88
189.53,191.03
191.08,191.33
191.52,190.91
189.75,191.45
191.78,190.4
189.69,191.88
191.78,191.44
190.68,191.61
192.45,193.0
193.0602,194.82
194.61,194.21
194.99,190.98
191.9,189.91
190.3,190.29
199.13,201.5
200.58,207.39
207.03,207.99
208.0,209.07
209.32,207.11
206.05,207.25
207.28,208.88
207.36,207.53
207.7,208.87
210.155,209.75
209.22,210.24
211.75,213.32
213.44,217.58
218.1,215.46
216.8,215.04
214.1,215.05
214.65,215.49
216.6,216.16
217.15,217.94
219.01,219.7
220.15,222.98
223.25,225.03
226.51,227.63
228.41,228.36
228.99,226.87
226.23,223.1
221.85,221.3
220.95,218.33
218.01,223.85
224.94,221.07
223.52,226.41
225.75,223.84
222.15,217.88
217.79,218.24
218.5,218.37
220.24,220.03
220.78,217.66
216.82,220.79
219.75,222.19
221.0,220.42
223.82,224.95
224.79,225.74
227.95,227.26
227.25,229.28
230.05,232.07
230.78,227.99
227.96,224.29
222.21,223.77
223.64,226.87
225.46,216.36
214.52,214.45
220.42,222.11
221.16,217.36
218.93,222.15
222.3,221.19
217.86,216.02
218.06,219.31
219.79,220.65
215.83,222.73
222.6,215.09
217.71,219.8
215.9,216.3
219.19,212.24
211.15,213.3
216.88,218.86
219.05,222.22
209.55,207.48
204.3,201.59
201.92,203.77
205.97,209.95
209.98,208.49
205.55,204.47
199.0,194.17
191.63,192.23
193.9,186.8
188.39,191.41
190.5,193.53
190.0,185.86
178.37,176.98
179.73,176.78
174.94,172.29
174.24,174.62
171.51,174.24
176.73,180.94
182.66,179.55
180.29,178.58
184.46,184.82
180.95,176.69
171.76,174.72
173.49,168.49
165.0,169.6
171.66,168.63
170.4,169.1
170.49,170.95
169.0,165.48
165.45,163.94
165.38,166.07
166.0,160.89
160.4,156.83
156.86,150.73
148.15,146.83
148.3,157.17
155.84,156.15
157.5,156.23
158.53,157.74
154.89,157.92
143.98,142.19
144.53,148.26
148.7,147.93
149.56,150.75
151.29,153.31
152.5,153.8
152.88,152.29
150.85,150.0
150.27,153.07
153.08,154.94
154.2,155.86
157.5,156.82
156.41,153.3
154.15,153.92
154.11,152.7
155.48,157.76
155.79,156.3
156.25,154.68
163.25,165.25
166.11,166.44
166.96,166.52
167.41,171.25
172.86,174.18
174.65,174.24
172.4,170.94
168.99,170.41
171.05,169.43
170.1,170.89
171.39,170.18
169.71,170.8
171.25,170.42
169.71,170.93
171.19,172.03
171.8,171.06
171.58,172.97
174.16,174.23
173.71,174.33
173.21,174.87
174.32,173.15
174.28,174.97
175.69,175.85
175.94,175.53
174.67,174.52
173.87,172.5
170.32,172.91
175.49,178.9
180.0,180.91
182.25,181.71
183.9,183.73
184.85,186.12
185.8,188.02
188.35,186.53
186.23,188.16
190.02,195.09
195.34,191.05
191.51,188.74
191.664,186.79
188.75,188.47
188.95,188.72
189.83,189.95
191.64,191.24
191.09,194.02
193.25,195.35
194.79,195.69
196.45,197.0
196.42,200.1
200.32,199.5
198.68,200.62
200.85,198.95
199.2,198.87
198.58,199.23
199.46,199.25
199.54,203.13
203.12,203.86
202.83,204.53
204.43,207.48
207.36,207.16
206.83,205.28
204.9,204.3
204.4,204.61
203.06,200.67
209.88,210.52
209.84,209.15
210.89,211.75
204.29,208.48
205.88,202.86
201.9,202.9
200.4,200.72
197.419,197.18
187.71,185.72
186.41,188.66
186.27,190.92
189.91,190.08
186.93,189.0
183.52,183.09
185.22,186.6
184.66,182.78
179.8,179.66
180.2,178.97
178.92,178.23
176.42,177.38
177.95,178.3
176.23,175.07
175.6,173.3
175.44,179.64
184.28,182.54
183.08,185.22
186.51,190.15
191.81,192.58
194.86,194.81
193.95,194.19
194.7,194.15
191.545,192.74
192.9,193.89
196.05,198.45
199.68,197.87
200.37,199.46
198.8,198.78
198.54,198.58
198.43,195.57
197.77,199.8
200.29,199.74
198.68,197.92
203.17,201.55
201.41,202.73
203.28,204.41
203.35,204.23
200.81,200.02
199.2,201.24
201.85,203.23
203.31,201.75
202.45,203.3
204.09,205.21
204.59,204.5
204.05,203.35
204.0,205.66
205.79,202.59
203.65,207.22
208.46,208.84
207.67,208.67
208.89,207.02
207.48,207.74
208.46,209.68
208.76,208.78
216.42,213.04
213.9,208.43
205.53,204.02
197.99,193.34
196.31,197.0
195.41,199.04
200.2,203.43
201.3,200.99
199.62,200.48
201.02,208.97
203.16,202.75
203.46,201.74
204.28,206.5
210.62,210.35
210.88,210.36
212.99,212.64
213.19,212.46
209.43,202.64
205.86,206.49
207.86,204.16
204.1,205.53
208.5,209.01
210.16,208.74
206.43,205.7
208.39,209.19
212.0,213.28
214.05,213.26
214.84,214.17
213.86,216.7
218.07,223.59
224.8,223.085
220.0,218.75
217.73,219.9
219.96,220.7
221.06,222.77
222.01,220.96
221.38,217.73
218.95,218.72
221.055,217.68
218.55,221.03
220.0,219.89
220.54,218.82
220.9,223.97
225.07,224.59
223.06,218.96
218.43,220.82
225.64,227.01
226.27,227.06
225.82,224.4
227.03,227.03
227.93,230.09
232.95,236.21
234.9,235.87
236.39,235.32
233.37,234.37
235.09,235.28
234.59,236.41
237.52,240.51
241.16,239.96
242.1,243.18
244.51,243.58
243.16,246.58
247.42,249.05
248.97,243.29
244.76,243.26
247.24,248.76
249.54,255.82
257.33,257.5
257.05,257.13
256.77,257.24
258.74,259.43
258.69,260.14
258.3,262.2
261.55,261.96
261.13,264.47
263.75,262.64
263.68,265.76
265.8,267.1
267.9,266.29
265.54,263.19
263.69,262.01
262.59,261.78
262.71,266.37
266.94,264.29
265.58,267.84
266.6,267.25
267.27,264.16
258.31,259.45
261.07,261.74
263.79,265.58
267.48,270.71
270.0,266.92
268.6,268.48
268.81,270.77
267.78,271.46
271.46,275.15
277.0,279.86
279.57,280.41
279.8,279.74
279.5,280.02
282.23,279.44
280.53,284.0
284.69,284.27
284.82,289.91
291.12,289.8
289.46,291.52
289.93,293.65
296.24,300.35
297.15,297.43
293.79,299.8
299.84,298.39
297.16,303.19
307.235,309.63
310.6,310.33
311.64,316.96
316.7,312.68
311.85,311.34
